Insert, Search
1.65E-07,1.48E-07
4.01E-07,2.71E-07
6.41E-07,3.86E-07
8.86E-07,4.74E-07
1.12E-06,6.25E-07
1.37E-06,7.49E-07
1.63E-06,8.31E-07
1.89E-06,9.96E-07
2.13E-06,1.09E-06
2.38E-06,1.30E-06
2.63E-06,1.37E-06
2.88E-06,1.58E-06
3.13E-06,1.67E-06
3.38E-06,1.87E-06
3.63E-06,3.27E-06
8.50E-06,2.73E-06
5.25E-06,2.64E-06
5.80E-06,2.50E-06
4.87E-06,2.54E-06
5.23E-06,2.56E-06
5.64E-06,2.93E-06
5.49E-06,2.82E-06
5.75E-06,2.87E-06
5.98E-06,3.06E-06
6.23E-06,3.14E-06
6.57E-06,3.32E-06
6.95E-06,4.19E-06
7.29E-06,3.88E-06
7.26E-06,4.16E-06
7.54E-06,4.31E-06
7.76E-06,4.34E-06
8.09E-06,4.39E-06
8.26E-06,4.43E-06
8.67E-06,4.43E-06
8.78E-06,4.41E-06
9.02E-06,4.35E-06
9.28E-06,4.67E-06
9.53E-06,4.94E-06
9.85E-06,5.33E-06
1.03E-05,5.22E-06
1.03E-05,4.72E-06
1.05E-05,5.36E-06
1.09E-05,5.76E-06
1.11E-05,5.29E-06
1.16E-05,5.85E-06
1.15E-05,5.74E-06
1.18E-05,5.64E-06
1.21E-05,5.77E-06
1.25E-05,7.17E-06
1.40E-05,7.29E-06
1.37E-05,6.61E-06
1.38E-05,6.72E-06
1.34E-05,6.38E-06
1.36E-05,7.18E-06
1.39E-05,7.09E-06
1.42E-05,7.03E-06
1.44E-05,7.41E-06
1.53E-05,8.06E-06
1.50E-05,8.14E-06
1.52E-05,7.13E-06
1.54E-05,7.35E-06
1.58E-05,8.27E-06
1.60E-05,8.28E-06
1.68E-05,7.92E-06
1.67E-05,8.85E-06
1.68E-05,7.58E-06
1.70E-05,8.62E-06
1.73E-05,8.39E-06
1.77E-05,8.39E-06
1.78E-05,8.72E-06
1.82E-05,8.30E-06
1.83E-05,8.97E-06
1.86E-05,9.49E-06
1.88E-05,9.77E-06
1.91E-05,9.41E-06
1.97E-05,9.62E-06
2.15E-05,1.05E-05
2.00E-05,9.37E-06
2.05E-05,1.12E-05
2.05E-05,1.04E-05
2.08E-05,9.82E-06
2.10E-05,1.06E-05
2.14E-05,1.00E-05
2.15E-05,1.14E-05
2.20E-05,1.09E-05
2.24E-05,1.04E-05
2.26E-05,1.02E-05
2.27E-05,1.12E-05
2.30E-05,1.01E-05
2.33E-05,1.18E-05
2.36E-05,1.13E-05
2.38E-05,1.17E-05
2.41E-05,1.13E-05
2.45E-05,1.11E-05
2.49E-05,1.23E-05
2.51E-05,1.21E-05
2.54E-05,1.25E-05
2.57E-05,1.28E-05
2.60E-05,1.19E-05
2.63E-05,1.23E-05
