Insert, Search, Insert Collisions, Search Collisions
1.82E-07,1.90E-08,0,0
1.57E-07,1.80E-08,0,0
1.47E-07,1.90E-08,0,0
1.49E-07,1.90E-08,1,0
1.45E-07,2.00E-08,1,1
1.32E-07,1.90E-08,1,0
1.93E-07,2.10E-08,0,1
1.47E-07,2.20E-08,0,0
1.28E-07,2.10E-08,3,1
1.32E-07,2.10E-08,3,0
1.38E-07,2.20E-08,3,2
1.29E-07,2.00E-08,3,1
1.24E-07,2.20E-08,3,4
1.21E-07,2.10E-08,2,1
1.16E-07,2.10E-08,2,2
1.16E-07,2.10E-08,3,1
1.07E-07,2.20E-08,5,0
1.18E-07,2.20E-08,2,0
1.08E-07,2.30E-08,2,3
1.13E-07,2.30E-08,3,2
1.14E-07,2.30E-08,4,5
1.03E-07,2.20E-08,1,1
1.06E-07,2.30E-08,7,2
1.14E-07,2.30E-08,2,4
1.11E-07,2.30E-08,1,1
1.06E-07,2.30E-08,3,3
1.10E-07,2.20E-08,1,1
9.70E-08,2.30E-08,4,1
9.70E-08,2.30E-08,5,4
1.02E-07,2.30E-08,9,1
9.20E-08,2.30E-08,1,1
1.01E-07,2.30E-08,4,1
9.50E-08,2.30E-08,3,0
9.90E-08,2.30E-08,9,3
9.10E-08,2.20E-08,6,1
9.30E-08,2.50E-08,8,3
1.00E-07,2.30E-08,18,4
9.00E-08,2.50E-08,14,3
8.90E-08,2.50E-08,9,6
8.90E-08,2.40E-08,5,3
9.50E-08,2.40E-08,7,1
2.52E-07,2.60E-08,10,3
1.25E-07,2.60E-08,9,3
9.40E-08,2.70E-08,8,5
1.32E-07,2.70E-08,19,5
1.27E-07,2.60E-08,11,5
1.18E-07,2.50E-08,11,3
1.20E-07,2.60E-08,7,4
8.60E-08,2.50E-08,14,6
1.28E-07,2.60E-08,9,5
1.22E-07,2.60E-08,15,5
1.17E-07,2.60E-08,8,3
1.20E-07,2.60E-08,9,3
8.70E-08,2.60E-08,9,6
1.16E-07,2.60E-08,8,4
1.18E-07,2.60E-08,13,8
1.20E-07,2.60E-08,10,4
7.90E-08,2.60E-08,14,5
1.16E-07,2.70E-08,11,7
1.25E-07,2.70E-08,15,6
1.17E-07,2.60E-08,19,6
1.21E-07,2.70E-08,23,4
7.60E-08,2.70E-08,11,8
1.21E-07,2.70E-08,13,6
1.19E-07,2.70E-08,22,9
1.17E-07,2.70E-08,13,5
9.10E-08,2.50E-08,11,2
1.22E-07,2.60E-08,15,6
1.14E-07,2.80E-08,16,4
1.09E-07,2.70E-08,14,5
1.05E-07,2.60E-08,13,1
8.30E-08,2.70E-08,15,5
1.09E-07,2.80E-08,18,15
1.18E-07,2.60E-08,26,4
1.14E-07,2.80E-08,9,10
8.20E-08,2.70E-08,19,6
1.13E-07,2.80E-08,17,9
1.12E-07,2.80E-08,16,7
1.21E-07,2.80E-08,14,13
1.12E-07,2.80E-08,18,9
7.60E-08,2.60E-08,14,5
1.19E-07,2.70E-08,18,8
1.16E-07,2.90E-08,20,10
1.70E-07,3.00E-08,26,9
1.10E-07,2.80E-08,13,6
7.90E-08,2.70E-08,18,4
1.12E-07,2.80E-08,16,6
1.03E-07,2.90E-08,17,12
1.06E-07,2.70E-08,18,5
8.40E-08,2.70E-08,30,8
1.18E-07,3.00E-08,31,14
1.15E-07,2.80E-08,27,13
1.12E-07,2.80E-08,14,9
1.17E-07,2.90E-08,35,14
8.20E-08,2.90E-08,24,14
1.24E-07,2.70E-08,30,4
1.09E-07,2.90E-08,27,12
1.07E-07,3.00E-08,21,15
7.40E-08,2.80E-08,25,9
1.21E-07,3.10E-08,27,20
